"","MEGYE","OEVK","SZEKHELY","AE","BE","CE","EE","FE","IE","JE","JE_pct","KE","ME","ME_pct","NE","FIDESZ_egy","MSZP_egy","JOBBIK_egy","LMP_egy","MAS_egy","FIDESZ_egy_pct","MSZP_egy_pct","JOBBIK_egy_pct","LMP_egy_pct","MAS_egy_pct","FIDESZ_lst","MSZP_lst","JOBBIK_lst","LMP_lst","MAS_lst","FIDESZ_lst_pct","MSZP_lst_pct","JOBBIK_lst_pct","LMP_lst_pct","MAS_lst_pct","FIDESZ_egy_jlt","MSZP_egy_jlt","JOBBIK_egy_jlt","LMP_egy_jlt","winner","dev_lst_egy"
"96","TOLNA",3,"Paks",62881,794,115,63790,36320,798,37118,0.5819,37101,472,0.0127,36629,18286,7452,8288,1284,1319,0.4992,0.2034,0.2263,0.0351,0.0360097190750498,18339,7434,8245,1321,1157,0.50249342393687,0.203693555458132,0.22591516878562,0.0361957474791758,0.0317021043402017,"Hirt Ferenc","Heringes Anita","Bencze János","Harmat Gabriella","FIDESZ_egy",-0.00329342393686982
"97","VAS",1,"Szombathely",69686,1073,153,70912,45158,1097,46255,0.6523,46225,373,0.0081,45852,20612,14049,7034,2841,1316,0.4495,0.3064,0.1534,0.062,0.0287010381226555,20964,13204,6921,3229,1517,0.457379731646122,0.288076797207374,0.150998145521981,0.0704483473328243,0.0330969782916985,"Dr. Hende Csaba Károly","Dr. Nemény András","Balassa Péter Sándor","Horváth Zoltán","FIDESZ_egy",-0.00787973164612193
"98","VAS",2,"Sárvár",69982,906,96,70984,43395,893,44288,0.6239,44266,443,0.01,43823,22792,10570,7447,1686,1328,0.5201,0.2412,0.1699,0.0385,0.0303037217899277,23334,9083,8104,2027,1344,0.531623074820013,0.206939761232115,0.184635013214253,0.0461815364986786,0.0306206142349403,"Ágh Péter","Fehér László István","Rába Kálmán","Bogáti András","FIDESZ_egy",-0.0115230748200128
"99","VAS",3,"Körmend",67906,854,77,68837,42195,863,43058,0.6255,43036,450,0.0105,42586,24271,6318,9379,1358,1260,0.5699,0.1484,0.2202,0.0319,0.0295871882778378,24410,6796,8519,1593,1225,0.573772418494229,0.159744258749971,0.200244458547822,0.037444467950074,0.0287943962579038,"V.Németh Zsolt","Wrzava Pál","Bana Tibor","Baracska Péter Róbert","FIDESZ_egy",-0.00387241849422937
"100","VESZPRÉM",1,"Veszprém",72526,1120,258,73904,46275,1227,47502,0.6428,47463,395,0.0083,47068,22194,13009,7759,2904,1202,0.4715,0.2764,0.1648,0.0617,0.0255375201835642,20860,12644,8345,3141,1761,0.446193664306646,0.27045410793352,0.178498855639452,0.0671857286475156,0.0376676434728669,"Dr. Navracsics Tibor","Pál Béla","Forgóné Kelemen Judit Andrea","Gerstmár Ferenc","FIDESZ_egy",0.0253063356933541
"101","VESZPRÉM",2,"Balatonfüred",72515,1630,325,74470,44484,1750,46234,0.6208,46205,494,0.0107,45711,20854,12428,8716,2246,1467,0.4562,0.2719,0.1907,0.0491,0.0320929316794645,21045,11909,8570,2575,1708,0.459427598401991,0.259982098805859,0.187089309494182,0.0562141157465016,0.0372868775514659,"Dr. Kontrát Károly","Scheiring Gábor","Kepli Lajos","Cséby Géza Attila","FIDESZ_egy",-0.00322759840199099
"102","VESZPRÉM",3,"Tapolca",71024,1338,165,72527,42119,1324,43443,0.599,43422,380,0.0088,43042,18570,11769,10110,1276,1317,0.4314,0.2734,0.2349,0.0296,0.0305980205380791,19296,10925,9860,1682,1323,0.447848489068375,0.253562642157545,0.228844636308778,0.0390382026644386,0.0307060298008634,"Lasztovicza Jenõ","Dr. Horváth József","Dobó Zoltán","Guzslován Gábor","FIDESZ_egy",-0.0164484890683749
"103","VESZPRÉM",4,"Pápa",71720,953,127,72800,43251,960,44211,0.6073,44191,550,0.0124,43641,22246,9485,10030,1274,606,0.5098,0.2173,0.2298,0.0292,0.0138860246098852,21883,8943,10202,1448,1184,0.501213925790197,0.204832798900595,0.233669262482822,0.0331653687585891,0.0271186440677966,"Dr. Kovács Zoltán","Gõgös Zoltán","Ferenczi Gábor","Nyõgér István","FIDESZ_egy",0.00858607420980306
"104","ZALA",1,"Zalaegerszeg",78111,1436,170,79717,50513,1424,51937,0.6515,51914,498,0.0096,51416,22816,12381,10957,2196,3066,0.4438,0.2408,0.2131,0.0427,0.0596312431927805,23406,12220,11757,2571,1596,0.454044616876819,0.237051406401552,0.228069835111542,0.0498739088263822,0.0309602327837051,"Vigh László","Major Gábor","Pete Róbert","Dr. Paksy Zoltán","FIDESZ_egy",-0.0102446168768187
"105","ZALA",2,"Keszthely",74393,1480,192,76065,44354,1485,45839,0.6026,45817,461,0.0101,45356,22351,8943,10985,1792,1285,0.4928,0.1972,0.2422,0.0395,0.0283314225240321,22287,9002,10814,1901,1450,0.490319883838606,0.198046376556519,0.237910854930259,0.0418225018700224,0.0319003828045937,"Manninger Jenõ Vilmos","Szermek Zsolt Ottó","Selmeczy Zsuzsanna","Németh Áron Csaba","FIDESZ_egy",0.00248011616139393
"106","ZALA",3,"Nagykanizsa",76684,1222,139,78045,45503,1191,46694,0.5983,46662,473,0.0101,46189,18279,12024,12601,1516,1769,0.3957,0.2603,0.2728,0.0328,0.0382991621381714,18368,11607,12994,1815,1515,0.396725631223137,0.250696559320936,0.280654009805827,0.0392017106200998,0.0327220890300007,"Cseresnyés Péter","Göndör István","Zakó László","Tringer Ferenc Péter","FIDESZ_egy",-0.00102563122313659
